task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
38	9e/4f7772	37178	pipeline:variantCallingPipeline:medakaConsensus (7)	COMPLETED	0	2024-12-13 16:45:18.556	33.6s	30.7s	69.4%	415.5 MB	3.2 GB	56 MB	32.6 MB
37	ce/2e6b93	37451	pipeline:variantCallingPipeline:medakaConsensus (6)	COMPLETED	0	2024-12-13 16:45:39.713	22.3s	20.7s	98.8%	405.4 MB	3.2 GB	55.6 MB	32.6 MB
44	b7/427196	37419	pipeline:variantCallingPipeline:medakaConsensus (13)	COMPLETED	0	2024-12-13 16:45:37.602	27.1s	25.8s	100.3%	417.8 MB	3.2 GB	55.6 MB	32.6 MB
43	64/49ed9d	37490	pipeline:variantCallingPipeline:medakaConsensus (12)	COMPLETED	0	2024-12-13 16:45:44.320	21.9s	20.4s	77.1%	400.4 MB	3.2 GB	55.6 MB	32.6 MB
42	0e/faa0ff	37547	pipeline:variantCallingPipeline:medakaConsensus (11)	COMPLETED	0	2024-12-13 16:45:46.520	23.3s	21.9s	98.7%	409.3 MB	3.2 GB	55.8 MB	32.6 MB
36	e6/9ab87d	37615	pipeline:variantCallingPipeline:medakaConsensus (5)	COMPLETED	0	2024-12-13 16:45:52.179	18.9s	17.4s	99.6%	400.7 MB	3.2 GB	55.7 MB	32.6 MB
39	3d/42f3e9	37584	pipeline:variantCallingPipeline:medakaConsensus (8)	COMPLETED	0	2024-12-13 16:45:49.924	26.5s	24.9s	98.7%	418.5 MB	3.2 GB	55.8 MB	32.6 MB
32	65/05ccb3	37520	pipeline:variantCallingPipeline:medakaConsensus (1)	COMPLETED	0	2024-12-13 16:45:44.638	34.9s	33.6s	100.1%	437.4 MB	3.2 GB	56 MB	32.6 MB
51	f9/525db5	37774	pipeline:variantCallingPipeline:medakaConsensus (20)	COMPLETED	0	2024-12-13 16:46:09.796	13.4s	12.1s	99.6%	395.2 MB	3.2 GB	55.8 MB	32.6 MB
50	3c/8123a9	37706	pipeline:variantCallingPipeline:medakaConsensus (19)	COMPLETED	0	2024-12-13 16:46:04.753	20s	18.9s	99.3%	409.8 MB	3.2 GB	55.6 MB	32.6 MB
48	63/5495c2	37809	pipeline:variantCallingPipeline:medakaConsensus (17)	COMPLETED	0	2024-12-13 16:46:11.089	14.2s	13.1s	99.4%	398.7 MB	3.1 GB	55.7 MB	32.6 MB
49	73/5f87ec	37736	pipeline:variantCallingPipeline:medakaConsensus (18)	COMPLETED	0	2024-12-13 16:46:06.213	24.2s	22.9s	99.7%	426.9 MB	3.2 GB	55.7 MB	32.6 MB
41	8b/3533bf	37672	pipeline:variantCallingPipeline:medakaConsensus (10)	COMPLETED	0	2024-12-13 16:46:02.026	29.6s	28.6s	100.7%	440.8 MB	3.2 GB	56 MB	32.6 MB
35	5b/98f773	37188	pipeline:variantCallingPipeline:medakaConsensus (4)	COMPLETED	0	2024-12-13 16:45:18.618	1m 35s	1m 32s	54.9%	474.7 MB	3.2 GB	56.2 MB	32.7 MB
52	b5/885cab	37993	pipeline:variantCallingPipeline:medakaVariant (1)	COMPLETED	0	2024-12-13 16:46:53.489	7.4s	5s	89.4%	98.9 MB	1.3 GB	184.2 MB	95.2 KB
55	79/327e45	38109	publish (2)	COMPLETED	0	2024-12-13 16:47:00.985	2.9s	19ms	26.7%	0	0	58.3 KB	181 B
53	06/6445d1	38144	pipeline:collectFilesInDir (1)	COMPLETED	0	2024-12-13 16:47:01.058	2.9s	73ms	24.2%	1 MB	3.8 MB	64.2 KB	181 B
58	48/fdb798	38092	publish (5)	COMPLETED	0	2024-12-13 16:47:00.929	3.1s	15ms	66.7%	0	0	58.3 KB	181 B
57	98/45d0da	38114	publish (4)	COMPLETED	0	2024-12-13 16:47:00.993	3.1s	15ms	28.6%	0	0	58.3 KB	181 B
54	82/8c9def	38090	publish (1)	COMPLETED	0	2024-12-13 16:47:00.923	3.2s	12ms	42.1%	0	0	58.3 KB	181 B
60	40/ec3546	38127	publish (7)	COMPLETED	0	2024-12-13 16:47:01.049	3.2s	11ms	40.0%	0	0	58.3 KB	181 B
56	3a/5c2542	38108	publish (3)	COMPLETED	0	2024-12-13 16:47:00.978	3.4s	50ms	30.8%	1 MB	3.8 MB	58.3 KB	181 B
59	53/c83f5b	38105	publish (6)	COMPLETED	0	2024-12-13 16:47:00.970	3.4s	16ms	66.7%	0	0	58.3 KB	181 B
61	ad/b8f2d3	38298	pipeline:makeReport	COMPLETED	0	2024-12-13 16:47:03.958	21.7s	17.8s	102.5%	418.1 MB	1.4 GB	57.1 MB	31 MB
